"locatie";"totaal";"geweld: totaal per 1000 inw+arb [promillage]";"bedrijging";"mishandeling";"openlijkGeweld";"overval";"straatroof";"zedenmisdrijf";"overig"
"Lunetten-zuid";"42";"4.7";"18";"15";"2";"0";"3";"2";"2"
"Tolsteeg, Rotsoord";"16";"3.3";"3";"10";"3";"0";"0";"0";"0"
"Oud Hoograven-noord";"5";"1.4";"2";"3";"0";"0";"0";"0";"0"
"Oud Hoograven-zuid";"5";"1.9";"1";"2";"1";"0";"0";"1";"0"
"Bokkenbuurt";"6";"7.3";"1";"3";"0";"0";"0";"1";"1"
"Nieuw Hoograven-noord";"10";"3.9";"4";"5";"0";"0";"1";"0";"0"
"Nieuw Hoograven-zuid";"23";"5.6";"8";"12";"0";"0";"1";"1";"1"
"Dichterswijk";"13";"2.0";"3";"4";"2";"1";"1";"1";"1"
"Rivierenwijk";"55";"4.7";"16";"26";"7";"0";"2";"1";"3"
"Bedr-geb. Kanaleneiland-zuid";"11";"1.2";"6";"3";"0";"1";"1";"0";"0"
"Transwijk-zuid";"28";"4.3";"3";"11";"3";"1";"6";"4";"0"
"Transwijk-noord";"18";"2.3";"4";"9";"0";"0";"4";"0";"1"
"Kanaleneiland-zuid";"60";"5.8";"23";"25";"2";"0";"2";"3";"5"
"Kanaleneiland-noord";"62";"6.0";"17";"30";"5";"2";"3";"1";"4"
"Bedr-geb. De Wetering";"14";"2.5";"3";"10";"0";"0";"0";"0";"1"
"Terwijde-west";"12";"2.1";"5";"5";"0";"0";"2";"0";"0"
"Terwijde-oost";"13";"2.6";"4";"5";"1";"0";"0";"3";"0"
"Het Zand-west";"8";"1.3";"1";"5";"1";"0";"1";"0";"0"
"Het Zand-oost";"7";"2.5";"1";"3";"3";"0";"0";"0";"0"
"Leidsche Rijn Centrum";"4";"0.9";"2";"2";"0";"0";"0";"0";"0"
"Grauwaart";"2";"1.4";"1";"1";"0";"0";"0";"0";"0"
"Hoge Weide";"1";"2.8";"0";"1";"0";"0";"0";"0";"0"
"Leeuwesteyn";"0";"0.0";"0";"0";"0";"0";"0";"0";"0"
"Parkwijk-noord";"16";"4.1";"4";"7";"1";"0";"1";"2";"1"
"Parkwijk-zuid";"17";"3.8";"7";"8";"2";"0";"0";"0";"0"
"Langerak";"16";"2.7";"6";"8";"1";"1";"0";"0";"0"
"Rijnvliet";"1";"4.0";"1";"0";"0";"0";"0";"0";"0"
"Bedr-geb. Strijkviertel";"0";"0.0";"0";"0";"0";"0";"0";"0";"0"
"Bedr-geb. Papendorp";"8";"0.6";"4";"1";"1";"0";"1";"1";"0"
"Haarrijn";"0";"0.0";"0";"0";"0";"0";"0";"0";"0"
"Haarzuilens e.o./Parkweg-zuid";"1";"1.2";"0";"1";"0";"0";"0";"0";"0"
"Vleuten";"23";"2.7";"5";"15";"0";"0";"2";"0";"1"
"Máximapark";"7";"8.8";"2";"4";"1";"0";"0";"0";"0"
"Vleuterweide-west";"14";"2.1";"7";"7";"0";"0";"0";"0";"0"
"Vleuterweide-nrd, -oost, -centr";"17";"2.1";"5";"8";"0";"0";"2";"0";"2"
"Vleuterweide-zuid";"5";"1.1";"1";"3";"0";"0";"0";"1";"0"
"Veldhuizen";"32";"3.0";"14";"10";"3";"0";"1";"3";"1"
"De Meern-noord";"15";"2.4";"4";"8";"1";"0";"1";"1";"0"
"De Meern-zuid";"29";"3.8";"4";"17";"2";"0";"2";"1";"3"
"Oudenrijn";"7";"1.2";"4";"2";"0";"1";"0";"0";"0"
"Rijnenburg";"0";"0.0";"0";"0";"0";"0";"0";"0";"0"
